indice_tiempo,canasta_basica_alimentaria,canasta_basica_total,linea_indigencia,linea_pobreza
2000-10-01,63.51,154.30999999999997,196.24589999999998,476.8178999999999
2001-01-01,62.79333333333333,153.63333333333333,194.0314,474.727
2001-04-01,62.580000000000005,153.10999999999999,193.37220000000002,473.1098999999999
2001-07-01,61.326666666666675,150.86,189.4994,466.1574
2001-10-01,60.57,149.80666666666667,187.16129999999998,462.9026
2002-01-01,66.02,161.70666666666665,204.00179999999997,499.6735999999999
2002-04-01,86.21,202.23333333333335,266.3889,624.9010000000001
2002-07-01,100.24666666666667,225.73666666666668,309.7622,697.5263
2002-10-01,104.84666666666665,231.71,323.97619999999995,715.9839
2003-01-01,107.43666666666667,234.92333333333332,331.97929999999997,725.9130999999999
2003-04-01,104.75999999999999,229.75666666666666,323.7084,709.9481
2003-07-01,102.12666666666667,225.70333333333335,315.5714,697.4233
2003-10-01,105.04,229.6833333333333,324.5736,709.7214999999999
2004-01-01,106.0,232.13666666666668,327.53999999999996,717.3023000000001
2004-04-01,106.68666666666667,233.65,329.66179999999997,721.9784999999999
2004-07-01,107.52666666666669,236.18999999999997,332.2574,729.8270999999999
2004-10-01,108.23666666666666,238.48333333333335,334.4513,736.9135
2005-01-01,111.58,245.81000000000003,344.7822,759.5529
2005-04-01,114.23666666666668,250.56000000000003,352.9913,774.2304
2005-07-01,117.80666666666667,256.7866666666667,364.0226,793.4708
2005-10-01,123.33999999999999,266.40000000000003,381.12059999999997,823.176
2006-01-01,127.48,275.34666666666664,393.9132,850.8211999999999
2006-04-01,127.22666666666667,276.92,393.1304,855.6828
2006-07-01,126.60666666666668,278.5366666666667,391.2146,860.6783
2006-10-01,130.84,285.6366666666666,404.2956,882.6172999999998
